ncformat,emission_year,pct_of_baselevel
ScotGov_Target,2018,54
ScotGov_Target,2019,55
ScotGov_Target,2020,56
ScotGov_Target,2021,57.9
ScotGov_Target,2022,59.8
ScotGov_Target,2023,61.7
ScotGov_Target,2024,63.6
ScotGov_Target,2025,65.5
ScotGov_Target,2026,67.4
ScotGov_Target,2027,69.3
ScotGov_Target,2028,71.2
ScotGov_Target,2029,73.1
ScotGov_Target,2030,75
ScotGov_Target,2031,76.5
ScotGov_Target,2032,78
ScotGov_Target,2033,79.5
ScotGov_Target,2034,81
ScotGov_Target,2035,82.5
ScotGov_Target,2036,84
ScotGov_Target,2037,85.5
ScotGov_Target,2038,87
ScotGov_Target,2039,88.5
ScotGov_Target,2040,90
ScotGov_Target,2041,92
ScotGov_Target,2042,94
ScotGov_Target,2043,96
ScotGov_Target,2044,98
ScotGov_Target,2045,100